Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
0;49,7122320000033;20,098887;0;973
1;49,7114441538422;20,0995576739263;0,1;953
2;49,7106563038089;20,1002283260954;0,2;933
3;49,7098684499037;20,1008989565085;0,3;906
4;49,7090805921268;20,1015695651669;0,4;880
5;49,7082927304783;20,1022401520717;0,5;855
6;49,7075048649586;20,1029107172241;0,6;836
7;49,7067169955679;20,1035812606254;0,7;802
8;49,7059291223064;20,1042517822767;0,8;755
9;49,7051412451744;20,1049222821793;0,9;733
10;49,704353364172;20,1055927603343;1;695
11;49,7035654792996;20,106263216743;1,1;684
12;49,7027775905573;20,1069336514066;1,2;680
13;49,7019896979454;20,1076040643262;1,3;672
14;49,7012018014641;20,1082744555032;1,4;643
15;49,7004139011136;20,1089448249386;1,5;610
16;49,6996259968943;20,1096151726337;1,6;586
17;49,6988380888062;20,1102854985896;1,7;579
18;49,6980501768497;20,1109558028077;1,8;572
19;49,697262261025;20,1116260852891;1,9;571
20;49,6964743413323;20,1122963460349;2;568
21;49,6956864177718;20,1129665850465;2,1;558
22;49,6948984903438;20,113636802325;2,2;536
23;49,6941105590485;20,1143069978716;2,3;520
24;49,6933226238862;20,1149771716876;2,4;508
25;49,6925346848571;20,115647323774;2,5;486
26;49,6917467419614;20,1163174541322;2,6;478
27;49,6909587951993;20,1169875627633;2,7;469
28;49,6901708445711;20,1176576496685;2,8;469
29;49,689382890077;20,1183277148491;2,9;512
30;49,6885949317173;20,1189977583062;3;518
31;49,6878069694922;20,1196677800411;3,1;512
32;49,6870190034018;20,1203377800549;3,2;506
33;49,6862310334465;20,1210077583488;3,3;514
34;49,6854430596265;20,1216777149241;3,4;525
35;49,684655081942;20,122347649782;3,5;546
36;49,6838671003933;20,1230175629236;3,6;554
37;49,6830791149805;20,1236874543502;3,7;572
38;49,6822911257039;20,1243573240629;3,8;603
39;49,6815031325638;20,125027172063;3,9;581
40;49,6807151355604;20,1256969983517;4;569
41;49,6799271346938;20,1263668029301;4,1;547
42;49,6791391299644;20,1270365857996;4,2;526
43;49,6783511213724;20,1277063469612;4,3;507
44;49,677563108918;20,1283760864162;4,4;494
45;49,6767750926015;20,1290458041657;4,5;475
46;49,675987072423;20,1297155002111;4,6;469
47;49,6751990483828;20,1303851745534;4,7;492
48;49,6744110204811;20,1310548271939;4,8;519
49;49,6736229887183;20,1317244581338;4,9;539
50;49,6728349530944;20,1323940673743;5;552
51;49,6720469136098;20,1330636549166;5,1;557
52;49,6712588702646;20,1337332207619;5,2;567
53;49,6704708230592;20,1344027649113;5,3;590
54;49,6696827719937;20,1350722873662;5,4;602
55;49,6688947170683;20,1357417881277;5,5;626
56;49,6681066582834;20,136411267197;5,6;665
57;49,6673185956391;20,1370807245752;5,7;690
58;49,6665305291356;20,1377501602637;5,8;707
59;49,6657424587733;20,1384195742636;5,9;735
60;49,6649543845523;20,1390889665761;6;745
61;49,6641663064728;20,1397583372024;6,1;729
62;49,6633782245352;20,1404276861437;6,2;715
63;49,6625901387395;20,1410970134012;6,3;700
64;49,6618020490862;20,1417663189761;6,4;692
65;49,6610139555753;20,1424356028696;6,5;680
66;49,6602258582072;20,143104865083;6,6;638
67;49,659437756982;20,1437741056173;6,7;631
68;49,6586496519;20,1444433244739;6,8;616
69;49,6578615429615;20,1451125216539;6,9;603
70;49,6570734301666;20,1457816971584;7;590
71;49,6562853135156;20,1464508509888;7,1;577
72;49,6554971930087;20,1471199831462;7,2;577
73;49,6547090686461;20,1477890936318;7,3;588
74;49,6539209404282;20,1484581824469;7,4;578
75;49,6531328083551;20,1491272495925;7,5;567
76;49,652344672427;20,14979629507;7,6;549
77;49,6515565326442;20,1504653188804;7,7;523
78;49,6507683890069;20,1511343210251;7,8;511
