Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
0;50,4128930000034;21,751556;0;193
1;50,4130855048468;21,752934544731;0,1;192
2;50,4132779934014;21,7543131006643;0,2;197
3;50,4134704656667;21,7556916677991;0,3;185
4;50,4136629216425;21,7570702461346;0,4;189
5;50,4138553613287;21,7584488356701;0,5;191
6;50,414047784725;21,7598274364048;0,6;191
7;50,4142401918311;21,7612060483379;0,7;195
8;50,4144325826467;21,7625846714685;0,8;202
9;50,4146249571717;21,763963305796;0,9;201
10;50,4148173154058;21,7653419513196;1;204
11;50,4150096573488;21,7667206080384;1,1;199
12;50,4152019830003;21,7680992759517;1,2;193
13;50,4153942923602;21,7694779550587;1,3;196
14;50,4155865854283;21,7708566453586;1,4;183
15;50,4157788622042;21,7722353468507;1,5;180
16;50,4159711226877;21,7736140595342;1,6;191
17;50,4161633668787;21,7749927834082;1,7;191
18;50,4163555947767;21,776371518472;1,8;193
19;50,4165478063817;21,7777502647249;1,9;195
20;50,4167400016934;21,779129022166;2;199
21;50,4169321807114;21,7805077907945;2,1;190
22;50,4171243434356;21,7818865706097;2,2;182
23;50,4173164898658;21,7832653616109;2,3;183
24;50,4175086200016;21,7846441637971;2,4;195
25;50,4177007338429;21,7860229771677;2,5;195
26;50,4178928313894;21,7874018017218;2,6;192
27;50,4180849126408;21,7887806374587;2,7;191
28;50,418276977597;21,7901594843776;2,8;203
29;50,4184690262576;21,7915383424777;2,9;199
30;50,4186610586224;21,7929172117582;3;189
31;50,4188530746912;21,7942960922183;3,1;190
32;50,4190450744638;21,7956749838574;3,2;183
33;50,4192370579398;21,7970538866745;3,3;187
34;50,4194290251191;21,7984328006688;3,4;186
35;50,4196209760014;21,7998117258398;3,5;199
36;50,4198129105865;21,8011906621864;3,6;181
37;50,4200048288741;21,802569609708;3,7;189
38;50,4201967308639;21,8039485684038;3,8;188
39;50,4203886165558;21,8053275382729;3,9;186
40;50,4205804859495;21,8067065193147;4;184
41;50,4207723390447;21,8080855115282;4,1;178
42;50,4209641758413;21,8094645149129;4,2;191
43;50,4211559963389;21,8108435294677;4,3;177
44;50,4213478005373;21,8122225551921;4,4;182
45;50,4215395884363;21,8136015920851;4,5;191
46;50,4217313600356;21,8149806401461;4,6;197
47;50,4219231153351;21,8163596993742;4,7;196
48;50,4221148543343;21,8177387697686;4,8;178
49;50,4223065770332;21,8191178513286;4,9;171
50;50,4224982834314;21,8204969440533;5;169
51;50,4226899735288;21,8218760479421;5,1;175
52;50,422881647325;21,8232551629941;5,2;179
53;50,4230733048199;21,8246342892085;5,3;185
54;50,4232649460131;21,8260134265845;5,4;176
55;50,4234565709045;21,8273925751215;5,5;171
56;50,4236481794938;21,8287717348184;5,6;176
57;50,4238397717807;21,8301509056747;5,7;183
58;50,4240313477651;21,8315300876896;5,8;174
59;50,4242229074466;21,8329092808621;5,9;177
60;50,4244144508251;21,8342884851916;6;177
61;50,4246059779002;21,8356677006772;6,1;181
62;50,4247974886718;21,8370469273183;6,2;182
63;50,4249889831396;21,8384261651139;6,3;190
64;50,4251804613034;21,8398054140634;6,4;174
65;50,4253719231629;21,8411846741658;6,5;172
66;50,4255633687178;21,8425639454206;6,6;188
67;50,425754797968;21,8439432278268;6,7;195
68;50,4259462109132;21,8453225213836;6,8;182
69;50,4261376075531;21,8467018260904;6,9;185
70;50,4263289878875;21,8480811419463;7;183
71;50,4265203519162;21,8494604689505;7,1;185
72;50,4267116996389;21,8508398071022;7,2;182
73;50,4269030310554;21,8522191564007;7,3;179
74;50,4270943461654;21,8535985168452;7,4;175
75;50,4272856449686;21,8549778884349;7,5;181
76;50,427476927465;21,856357271169;7,6;183
77;50,4276681936541;21,8577366650467;7,7;178
78;50,4278594435358;21,8591160700672;7,8;182
79;50,4280506771098;21,8604954862298;7,9;190
80;50,428241894376;21,8618749135337;8;197
81;50,4284330953339;21,863254351978;8,1;190
82;50,4286242799834;21,8646338015621;8,2;186
83;50,4288154483243;21,8660132622851;8,3;179
