Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
0;49,6072630000033;19,958645;0;506
1;49,6072812773198;19,9600325055757;0,1;506
2;49,6072995380528;19,9614200121913;0,2;509
3;49,6073177822022;19,9628075198459;0,3;514
4;49,6073360097681;19,9641950285386;0,4;517
5;49,6073542207504;19,9655825382683;0,5;519
6;49,6073724151491;19,9669700490343;0,6;516
7;49,6073905929641;19,9683575608354;0,7;513
8;49,6074087541956;19,9697450736709;0,8;520
9;49,6074268988433;19,9711325875396;0,9;511
10;49,6074450269074;19,9725201024408;1;509
11;49,6074631383878;19,9739076183734;1,1;515
12;49,6074812332844;19,9752951353365;1,2;521
13;49,6074993115972;19,9766826533292;1,3;525
14;49,6075173733263;19,9780701723505;1,4;529
15;49,6075354184716;19,9794576923995;1,5;536
16;49,607553447033;19,9808452134752;1,6;545
17;49,6075714590106;19,9822327355768;1,7;545
18;49,6075894544043;19,9836202587031;1,8;559
19;49,6076074332142;19,9850077828534;1,9;562
20;49,6076253954401;19,9863953080267;2;576
21;49,607643341082;19,987782834222;2,1;584
22;49,60766127014;19,9891703614383;2,2;590
23;49,607679182614;19,9905578896748;2,3;580
24;49,607697078504;19,9919454189305;2,4;591
25;49,6077149578099;19,9933329492045;2,5;593
26;49,6077328205318;19,9947204804957;2,6;591
27;49,6077506666696;19,9961080128034;2,7;591
28;49,6077684962234;19,9974955461264;2,8;602
29;49,6077863091929;19,998883080464;2,9;609
30;49,6078041055784;20,0002706158151;3;616
31;49,6078218853796;20,0016581521788;3,1;627
32;49,6078396485967;20,0030456895541;3,2;633
33;49,6078573952296;20,0044332279401;3,3;628
34;49,6078751252782;20,005820767336;3,4;625
35;49,6078928387426;20,0072083077406;3,5;621
36;49,6079105356227;20,0085958491532;3,6;607
37;49,6079282159185;20,0099833915726;3,7;590
38;49,6079458796299;20,0113709349981;3,8;582
39;49,607963526757;20,0127584794286;3,9;577
40;49,6079811572998;20,0141460248633;4;579
41;49,6079987712581;20,0155335713011;4,1;577
42;49,608016368632;20,0169211187412;4,2;573
43;49,6080339494215;20,0183086671825;4,3;567
44;49,6080515136266;20,0196962166242;4,4;560
45;49,6080690612471;20,0210837670652;4,5;551
46;49,6080865922831;20,0224713185048;4,6;535
47;49,6081041067346;20,0238588709418;4,7;522
48;49,6081216046016;20,0252464243755;4,8;537
49;49,608139085884;20,0266339788047;4,9;550
50;49,6081565505818;20,0280215342286;5;558
51;49,608173998695;20,0294090906463;5,1;560
52;49,6081914302235;20,0307966480568;5,2;553
53;49,6082088451674;20,0321842064591;5,3;535
54;49,6082262435266;20,0335717658524;5,4;516
55;49,608243625301;20,0349593262356;5,5;520
56;49,6082609904908;20,0363468876079;5,6;526
57;49,6082783390958;20,0377344499682;5,7;540
58;49,6082956711161;20,0391220133157;5,8;551
59;49,6083129865515;20,0405095776494;5,9;558
60;49,6083302854022;20,0418971429683;6;569
61;49,608347567668;20,0432847092716;6,1;588
62;49,6083648333489;20,0446722765582;6,2;594
63;49,608382082445;20,0460598448273;6,3;603
64;49,6083993149562;20,0474474140779;6,4;615
65;49,6084165308824;20,0488349843089;6,5;618
66;49,6084337302237;20,0502225555196;6,6;610
67;49,60845091298;20,051610127709;6,7;601
68;49,6084680791514;20,0529977008761;6,8;588
69;49,6084852287377;20,0543852750199;6,9;579
70;49,608502361739;20,0557728501396;7;559
71;49,6085194781552;20,0571604262341;7,1;552
72;49,6085365779864;20,0585480033026;7,2;550
73;49,6085536612325;20,0599355813441;7,3;537
74;49,6085707278934;20,0613231603577;7,4;534
75;49,6085877779692;20,0627107403424;7,5;531
76;49,6086048114599;20,0640983212972;7,6;528
77;49,6086218283653;20,0654859032213;7,7;535
78;49,6086388286856;20,0668734861137;7,8;552
79;49,6086558124206;20,0682610699734;7,9;570
80;49,6086727795704;20,0696486547995;8;577
81;49,6086897301349;20,0710362405911;8,1;580
82;49,6087066641141;20,0724238273471;8,2;588
